,input,output
85,"Generate a LinkedIn post about the benefits of model quantization for Local Language Models (LLMs). Highlight the memory constraints of running LLMs on consumer hardware and how quantization can significantly reduce model sizes while maintaining performance. Mention a new short course titled ""Quantization Fundamentals"" taught by Hugging Face's Younes Belkada and Marc Sun. Emphasize the key learning outcomes of the course, such as:
- Learning to quantize nearly any open-source model
- Using int8 and bfloat16 data types for PyTorch and Hugging Face Transformers
- Understanding the technical aspects of linear quantization

Conclude with a call to action, encouraging readers to check out the course and provide the following link: https://lnkd.in/g66yNW8W","LLMs can take gigabytes of memory to store, which limits what can be run on consumer hardware. But quantization can dramatically compress models, making a wider selection of models available to developers. You can often reduce model size by 4x or more while maintaining reasonable performance. In our new short course Quantization Fundamentals taught by Hugging Face's Younes Belkada and Marc Sun, you'll: 
- Learn how to quantize nearly any open source model
- Use int8 and bfloat16 (Brain float 16) data types to load and run LLMs using PyTorch and the Hugging Face Transformers library
- Dive into the technical details of linear quantization to map 32-bit floats to 8-bit integers

As models get bigger and bigger, quantization becomes more important for making models practical and accessible. Please check out the course here:  https://lnkd.in/g66yNW8W"
86,"Write a LinkedIn post expressing gratitude for a positive review of your book ""Worlds I See"" by John Thornhill in the Financial Times. Mention that the review captured your drive to keep humans at the heart of AI to maximize its benefits while mitigating its harms.","Such a kind review of my new book ""Worlds I See"" in the Financial Times. Author John Thornhill really captured my drive to keep humans at the heart of AI to maximize its benefits while mitigating its harms."
87,"Generate a LinkedIn post celebrating Women's History Month and highlighting the achievements of women in AI. Emphasize their role in breaking glass ceilings, acknowledging progress made, but also pointing out the need for more women founders, investors, and scientists in the field. Use hashtags like #WomensHistoryMonth and #AI.","This #Women's History Month, I'm celebrating the incredible women who are shattering glass ceilings in #AI. 

While we've come a long way, seeing so many brilliant women leading the charge, the gap is still big… We need more women founders, investors, and scientists at the forefront."
88,"Generate a LinkedIn post about a recent conversation you had with Daphne Koller, CEO and founder of insitro, discussing her company's work at the intersection of machine learning and biology. Highlight her contributions to drug development, her background as co-founder of Coursera, a MacArthur Fellow, a renowned computer scientist, and one of TIME Magazine’s 100 most influential people. Mention the link to their conversation with Kevin Scott on democratizing access to machine learning and using ML to help patients. Include hashtags related to machine learning, medicines, biology, and science. Provide the following links for reference: https://lnkd.in/gH3pgix and https://lnkd.in/gtBqNS8.","I recently had the chance to talk with Daphne Koller, CEO and founder of insitro. Her company’s cutting edge work combines machine learning and biology to help transform drug development.  In addition to the fascinating and important work that Daphne is doing with insitro, she was also co-founder of Coursera, a MacArthur Fellow, is a renowned computer scientist, and was named one of TIME Magazine’s 100 most influential people.  Listen here: https://lnkd.in/gH3pgix Had a super-fun and far-ranging conversation with Kevin Scott on the importance of democratizing access to machine learning and on the opportunity (and moral imperative) to use ML to help patients. Also talked about the excitement of working at the boundary of two disciplines and building systems that involve both cells and bits, combining building blocks like stem cells, gene editing, microscopes, and cutting edge ML models. 
https://lnkd.in/gtBqNS8
# #machinelearning #medicines #biology #science"
89,Write a LinkedIn post announcing the availability of Llama 405B in HuggingChat. Mention that it's a large model and that inference has been optimized by the Hugging Face team. Include a direct link to try it out: https://lnkd.in/g2uSjG79. Format it in a professional and engaging manner.,"Llama 405B is now available in HuggingChat 💬

That's one large model 😮‍💨

Inference has been optimized by the whole Hugging Face team.

Direct link to try it out:

https://lnkd.in/g2uSjG79"
90,"Generate a LinkedIn post announcing the Early Bird prices for the UBA Trends Day 2024. Include details about the keynote speakers on April 25: Livia Fioretti, Jesús Cochegrus, Erin Meyer, Ken Hughes, and Pieter Abbeel. Mention that Steven Van Belleghem will be the moderator and ianka fleerackers will be the host. Emphasize that it will be an amazing event experience and encourage people not to miss the chance to stay updated on the latest trends. Provide the link to discover the program and purchase Early Bird tickets (https://trendsday.be/nl/). Finally, mention that the event will take place in Brussels Expo - ING Arena, on April 25, and include hashtags: #TrendsDay #UBA #Trends #Event #EarlyBird. Use icons and emojis to make the post engaging.","🔔 𝐄𝐧𝐣𝐨𝐲 𝐄𝐚𝐫𝐥𝐲 𝐁𝐢𝐫𝐝 𝐩𝐫𝐢𝐜𝐞𝐬 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐔𝐁𝐀 𝐓𝐫𝐞𝐧𝐝𝐬 𝐃𝐚𝐲 𝟐𝟎𝟐𝟒!

Which keynote speakers will inspire you on April 25? 
We'll welcome Livia Fioretti, Jesús Cochegrus, Erin Meyer, Ken Hughes, & Pieter Abbeel 🤩

With Steven Van Belleghem as your moderator and ianka fleerackers as your host, we guarantee you an amazing event experience 🙌🏻

Don't miss your chance to stay up to date on the latest trends! 

Discover the program and get your Early Bird tickets 👉 https://trendsday.be/nl/

See you on April 25 in Brussels Expo - ING Arena 👋🏻  

#TrendsDay #UBA #Trends #Event #EarlyBird"
91,"Generate a LinkedIn post that highlights an important commitment to the openness of Meta's AI ecosystem by Mark Zuckerberg. The post should mention “Open Source AI Is the Path Forward” and emphasize that Llama 3.1 is free, open, and comparable to the best proprietary systems. It should advocate for the performance, safety, customizability, and efficiency benefits of open AI platforms, drawing an analogy to how the open software infrastructure of the Internet has been successful. The post should cover three main points:
1. Open Source AI benefits for developers, including aspects like fine-tuning, distillation, safety, efficiency, privacy, flexibility, portability, affordability, and the contributions from a large ecosystem.
2. Benefits for Meta, stating that a larger community accelerates progress.
3. Global advantages, noting its contribution to diversity in languages, cultures, value systems, and AI assistant interests, as well as the broader access it enables with less concentrated control.","A hugely important commitment to the openness of Meta's AI ecosystem by Mark Zuckerberg: ""Open Source AI Is the Path Forward ""
Llama 3.1 is free, open, and on par with the best proprietary systems.
To maximize performance, safety, customizability, and efficiency, AI platforms must be open, just like the software infrastructure of the Internet became open.
- Open Source AI is good for developers: fine-tuning, distillation, safety, efficiency, privacy, flexibility, portability, affordability, and a large ecosystem of contributors.
- Open source AI is good for Meta: the larger the community, the faster the progress.
- Open source AI is good for the world: enables more diversity in languages, cultures, value systems, and centers of interest in AI assistants. Enables a wider access with less concentrated control."
92,"Generate a LinkedIn post expressing your enjoyment of a conversation with Alan Alda on his Clear and Vivid Podcast about your book, The Worlds I See. Mention that the discussion included topics like childhood memories, your career gamble with ImageNet, and your fascination with Biederman’s number. Conclude by thanking Alan Alda for the wide-ranging chat. Include the following link at the end: https://lnkd.in/guDK-dwk","I had such a great time talking to the thoughtful Alan Alda on his podcast Clear and Vivid Podcast about my book, The Worlds I See. Our conversation spanned from childhood memories to the career gamble I took with ImageNet to my fascination with Biederman’s number. Thanks for such a wide-ranging chat!
https://lnkd.in/guDK-dwk"
93,"Generate a LinkedIn post celebrating an extraordinary achievement. Announce that Rocky Duan, Covariant co-founder, is recognized in the 2024 Forbes' 30 Under 30 list. Emphasize Rocky's contributions in AI and Robotics, including his role as Covariant's CTO and his leadership in developing the Covariant Brain, the world's first foundation model for robotics. Mention his rapid completion of a Ph.D. at the University of California, Berkeley, his early involvement with OpenAI, and his research being cited over 15,000 times. Include a congratulatory note and a link to the Forbes article: https://lnkd.in/gXNb3eCc","Celebrating an extraordinary achievement! Our very own, Rocky Duan, Covariant co-founder, is recognized in 2024 Forbes’ 30 Under 30. 

Rocky’s visionary research and leadership have delivered critical breakthroughs in the field of AI and Robotics. As our CTO, Rocky leads the development of the Covariant Brain, the world’s first foundation model for robotics, powering hundreds of robots globally.

Forbes highlights Rocky’s remarkable journey, from completing his Ph.D. at the University of California, Berkeley in 2.5 years to becoming one of OpenAI’s first employees. His research has been cited over 15,000 times. 

https://lnkd.in/gXNb3eCc Congratulations Rocky Duan, couldn't be more deserved!"
94,"Write a LinkedIn post about Jeremy Howard launching a new law firm called Virgil, which integrates artificial intelligence from its inception and targets startup customers. Mention Howard's background as a prominent Australian data scientist and entrepreneur, and his connection with Answer.AI, an AI research and development lab backed by Google AI leads. Highlight the team's intent to experiment with AI to transform the practice of law and improve efficiency by tenfold. Include quotes from Howard about the firm's bold vision and the impact on the legal industry. Conclude by directing readers to read the full story for Capital Brief.","Starting a law firm from scratch is no easy feat. 

But prominent Australian data scientist and entrepreneur Jeremy Howard is doing just that, and more, launching a new firm with artificial intelligence at its core that's targeted at startup customers.

With a team of three lawyers, the new firm Virgil will actively experiment with AI, building it into the practice “from the ground up”.

Howard’s AI research and development lab Answer.AI has backing from Google AI leads and now he hopes Virgil will become the “world’s most successful law company”.

“Our view of the size of the transformation potential is very high. It's very bold. It's 10x efficiency improvement. That means literally changing how the law is practised”, Howard told Laurel Henning.

Read the full story 👇 I've spoken to law firms using new legal AI tools. I've spoken to people working on those tools. What about a new law firm founded entirely on making AI use a part of its practice from day one? 

Australian entrepreneur Jeremy Howard has launched a new firm -- Virgil -- with a team of three lawyers who will actively experiment with new technologies to serve the US startup industry. 

Read my story for Capital Brief here 👇"
95,"Generate a LinkedIn post reflecting on the milestone of the 256th issue of The Batch and the evolving landscape of AI. Highlight the importance of high-quality training for developers and non-developers alike as AI becomes more mainstream. Emphasize your commitment to putting learners first, and discuss the meticulous process your team at DeepLearning.AI goes through to ensure the quality of courses and programs. Share an anecdote about the debates your team had over details in the Machine Learning Specialization, and stress the values of technical accuracy, utility, clarity, and enjoyment in your content. Mention how you scrutinize learner feedback and take corrective actions when necessary, such as retiring subpar content even if it means forgoing revenue. End with a note that the continuation of your thoughts can be found at a provided link.","As we reach the milestone of the 256th issue of The Batch, I’m reflecting on how AI has changed over the years and how society continues to change with it. As AI becomes more widely available, it’s clear that many people — developers and non-developers — will benefit from high-quality training to keep up with the changes and gain useful AI skills.

In my years of working in education, I’ve felt that the world has enough low-quality courses, newsletters, social media posts, and other forms of content.  It’s possible to build a business churning out mediocre content in sufficient volume to attract a meaningful amount of attention, but I have no interest in doing that.

At DeepLearning.AI, our core philosophy is to put learners first. Our team obsesses about how to create quality training or other programs that benefit people who want to learn about AI. We have intense debates about what tools to teach, which examples to include, even which partners to work with, based on what we think is best for learners.

For example, I recall vividly how, when working on the Machine Learning Specialization, our team spent ages debating whether to use row or column matrices. Both sides showed up with deep analysis of the pros and cons, made Powerpoint presentations to argue their case, and we spent hours debating over what was better for learners in terms of both ease of picking up the concepts as well as subsequently being able to use these skills with third-party machine learning libraries.

We don’t release a course unless we think it’s a good use of a learner’s time and we’d be proud to recommend it to our own friends and family members. Quality, of course, can mean a lot of things. I expect what we do to be technically accurate, useful, up to date, clear, and time-efficient for learners. And, if possible, fun!

We don’t always get it right, but we scrutinize learner feedback (one of my most important weekly routines is to study a dashboard that summarizes learner ratings of our courses) and work to make sure our courses serve learners well. And yes, we have a large-language model powered application that reads learner reviews to flag important issues quickly.

Earlier this year, we realized that some of the paid content we had launched was below our quality standard, and that I wouldn’t in good conscience recommend it to my friends or family members. Despite this content being profitable, we did what we felt was the right thing for learners. So we decided to retire that content and forgo the revenues, but we feel much better now for having done the right thing for learners.

[Reached LinkedIn's length limit. Rest of text here:  https://lnkd.in/ggz_eXhU ]"
96,"Generate a LinkedIn post highlighting your experience at the a360 Summit in LA. Mention how inspiring the event was and express your admiration for Peter H. Diamandis. Discuss an ""aha moment"" you had about the need for wholesome AI and define what wholesome AI means to you. Reflect on your journey in pioneering #emotionAI, including your work at University of Cambridge, MIT, Affectiva, and Smart Eye. Emphasize the importance of combining AI’s IQ with EQ and how this theme was prevalent at the summit. Address the current lack of diversity in AI founders and builders, and your mission to change that. Mention your participation in the inaugural women’s fellow program and acknowledge Peter H. Diamandis’s commitment to supporting #women in AI through the Abundance360 community. Conclude by indicating that the summit identified significant gender disparity among speakers and emphasize the need for more women and underrepresented founders in AI. End with a powerful quote from Sekou Andrews: ""What if AI knows that humanity is the one thing it can enhance …. but can never inherit.""","Just wrapped up the a360 summit in LA. What an INSPIRING few days. Peter H. Diamandis, I said this before but will say it again: I feel so lucky to be orbiting in your universe! 

I had this aha moment at this summit: We need wholesome AI. What if we didn’t just build AI that is smarter … but instead built wholesome AI. 

When something is wholesome, it is good for our health and well-being. It is good for the environment and our planet. It is trustworthy and morally sound. And it is beautiful in its diversity and inclusivity. Wholesome AI is good for people - all people.  

I spent the last 20 years pioneering #emotionAI and humanizing technology before it dehumanizes. First in Academia at University of Cambridge and Massachusetts Institute of Technology, and then later at Affectiva and Smart Eye. 

Marrying AI’s IQ with EQ is a key ingredient of making #AI wholesome. I loved hearing the theme of Empathy and EQ in AI come up over and over again at the summit. YAY to that! 

But I also has this realization: AI today is not wholesome (yet). In particular, it is lacking diversity in the founders and builders of AI, and as a result, it is lacking in diversity of ideas. I am on a mission to change that. And I am SO grateful that Peter H. Diamandis has publicly committed to the Abundance360 community to continue to give a platform to #women in AI. This year, a360 launched the inaugural women’s fellow program, which I was part of alongside some amazing women. 

But the summit highlighted that we still have MAJOR work to do. The first 1.5 days of the summit were focused on AI, but only 2 out of 22 speakers on stage were women. The fact is: there simply aren’t enough women builders, founders and CEOs in AI today. 

Just look at the founders and CEOs of the top AI companies or the most funded AI companies. Being at the summit strengthened my resolve to be a catalyst for change. We absolutely need more women and underrepresented founders building the next generation of AI companies. 

I will leave you with this quote from actor and poet Sekou Andrews “What if AI knows that humanity is the one thing it can enhance …. but can never inherit”."
97,"Create a heartfelt LinkedIn post to celebrate someone's 21st birthday, expressing pride and love. Use a bullet point format to list 21 specific things you love about them. Make sure to include both serious and light-hearted attributes. Here is an example of the type of post you should generate:

<LinkedInPost> Happy 21st birthday ya [Name] 😘. I am so proud of the person you are and the young woman you’ve become. So kickass 🤣. But what I want you to know on your 21st bday is that I love you. So much. Unconditionally. And forever. For every reason, but also for no reason at all 😘

I’m a bullet point type of person, so here are 21 things I love about you:

1. Your empathy and compassion for others
2. Your no nonsense 🤣
3. Your love of learning
4. Your kindness and how you are always thinking of others
5. Your work ethic and how you pour your heart and soul into everything you do
6. How you show up for others
7. You hold a high bar for yourself and others
8. You are a leader in your community
9. Your determination - wow!
10. How independent you are
11. I love that I can count on you .. always
12. How you dare to be true and how you dare to use your voice to uplift others
13. Your courage … How you face challenges with so much resilience and grace
14. You’re my confidante… How I can share anything and everything with you - lifelong goals, concerns, work, life, relationships
15. And how you then tell it as it is 🙈🤷🏻‍♀️
16. Your generosity and how you share it with others.
17. I love your love for travel and adventure - may we always get to do that together
18. Goofy [Name] is pretty fun and cool too
19. I love our inside jokes and we can tease / troll each other
20. I love love love how you fully own who you are and what you stand for
21. But most of all l, I love (and feel so lucky) that you’re forever my baby girl.

Happy Birthday [Name] ❤️ </LinkedInPost>","Happy 21st birthday ya Jouka 😘. I am so proud of the person you are and the young woman you’ve become. So kickass 🤣. But what I want you to know on your 21st bday is that I love you. So much. Unconditionally. And forever. For every reason, but also for no reason at all 😘

I’m a bullet point type of person, so here are 21 things I love about you: 

1. Your empathy and compassion for others 
2. Your no nonsense 🤣
3. Your love of learning 
4. Your kindness and how you are always thinking of others  
5. Your work ethic and how you pour your heart and soul into everything you do 
6. How you show up for others 
7. You hold a high bar for yourself and others
8. You are a leader in your community 
9. Your determination - wow! 
10. How independent you are 
11. I love that I can count on you .. always 
12. How you dare to be true and how you dare to use your voice to uplift others
13. Your courage … How you face challenges with so much resilience and grace 
14. You’re my confidante… How I can share anything and everything with you - lifelong goals, concerns, work, life, relationships 
15. And how you then tell it as it is 🙈🤷🏻‍♀️
16. Your generosity and how you share it with others.
17. I love your love for travel and adventure - may we always get to do that together 
18. Goofy Jana is pretty fun and cool too 
19. I love our inside jokes and we can tease / troll each other 
20. I love love love how you fully own who you are and what you stand for 
21. But most of all l, I love (and feel so lucky) that you’re forever my baby girl.

Happy Birthday Jana Amin ❤️"
98,"Craft a LinkedIn post highlighting the latest episode of the AI Grand Rounds podcast featuring Dr. Daphne Koller. Your post should detail her professional journey from an early interest in computers to her significant role in Artificial Intelligence, particularly in healthcare. Mention her transition from abstract theoretical work to practical machine learning applications and her current focus on applying AI in biomedicine at insitro. Include her perspective on the unique challenges of integrating AI in biology and its democratizing potential for broader participation in scientific research. Conclude with a thank you note to hosts NEJM AI Deputy Editors Arjun Manrai, PhD, and Andrew Beam, PhD, and provide a link to listen to the episode: https://nejm.ai/ep17. Use appropriate hashtags.","In the latest episode of the AI Grand Rounds podcast, Dr. Daphne Koller charts her professional trajectory, tracing her early fascination with computers to her influential role in #ArtificialIntelligence and health care. 

Initially intrigued by the capacity of computers for decision-making based on theoretical principles, Koller witnessed her niche area — once considered peripheral to AI — grow to dominate the field. Her curiosity led her from abstract theory to practical #MachineLearning applications and eventually to the complex world of biomedicine.

Throughout the podcast, Koller shares her shift from pure computer science to the integration of machine learning in biological and medical research. She explains the unique challenges of applying AI to biology, distinguishing it from more deterministic fields, and how these complexities feed into her work at insitro, where she is leveraging AI throughout the drug discovery and development process, from disease understanding to therapeutic application and monitoring. She advocates for the democratizing potential of AI, underscoring its capacity to enable broader participation in scientific inquiry and problem-solving. 
 
Listen to the full episode hosted by NEJM AI Deputy Editors Arjun Manrai, PhD, and Andrew Beam, PhD: https://nejm.ai/ep17
 
#AIinMedicine Thank you, Arjun Manrai and Andrew Beam for a great conversation on what is happening - and what could happen in the future - when AI meets biology and healthcare!"
99,"Generate a LinkedIn post that welcomes a new Chief Technical Operations Officer, Jennitte Stevens, to insitro. Highlight her impressive track record in therapeutic discovery, design, and development at Amgen. Emphasize that Jennitte will spearhead the building of a unique research and preclinical engine at insitro, incorporating experimental and computational technologies to generate a pipeline of differentiated therapeutics. Mention Jennitte's close to two decades of experience at Amgen, where she advanced novel technologies and modalities, including biologics, synthetics, cell therapies, and oligonucleotides. Note her involvement in supporting over 100 therapeutic programs, including 30+ IND submissions and 10 BLAs, as well as her 40+ publications and multiple patents. Acknowledge her recognition for developing and using cutting-edge technologies to improve efficiency and shorten timelines. Finally, express excitement for Jennitte's ability to lead as insitro's programs approach the clinic, emphasizing her focus on efficiency, leadership, and passion for patients. End with an invitation for readers to join in welcoming Jennitte in the comments.","Welcome to insitro’s new Chief Technical Operations Officer, Jennitte Stevens. Jennitte brings an impressive track record in therapeutic discovery, design and development at Amgen. Jennitte will spearhead how insitro continues to build a unique research and preclinical engine that incorporates both experimental and computational technologies to generate a pipeline of differentiated therapeutics. 

For close to two decades, Jennitte was closely involved in advancing a range of Amgen’s novel technologies and modalities, including biologics, synthetics, cell therapies and oligonucleotides. In total, she supported 100+ therapeutic programs, including 30+ IND submissions and 10 BLAs. She has more than 40+ publications and multiple patents to her name and was recognized for the development and use of cutting-edge technologies to improve efficiency and shorten timelines. Her expertise will play a pivotal role as our lead programs approach the clinic.

With Jennitte’s laser focus on efficiency, superb leadership and a passion for patients, we couldn’t be more excited to have her on board. Join us in welcoming Jennitte in the comments below!"
100,"Generate a LinkedIn post announcing the start of insitro's second annual in vivo Week. The post should emphasize the week’s focus on learning, sharing, and innovation designed by and for insitro employees (referred to as ""insitrocytes""). Highlight the kickoff event: an inspiring fireside chat with Dr. Sue Desmond-Hellmann, a renowned oncologist with a leadership background at Genentech, UCSF, and the Bill & Melinda Gates Foundation. Mention the key topics discussed, such as opportunities in healthcare innovation, the future of drug development, and professional passions. Express gratitude for Sue’s valuable insights and reflect on the palpable energy and collaboration aimed at advancing insitro’s mission of accelerating drug discovery through machine learning and data at scale. Use relevant hashtags like #inVivoWeek2023, #teamwork, #ML, and #drugdiscovery. Additionally, share a personal note about the honor of interviewing Sue, touching on resonant topics such as human-centric models for health, the impact of the AIDS/HIV epidemic on drug discovery, the significance of precision medicine, the patient voice, and fostering a positive workplace culture. End with a heartfelt thank you to Dr. Sue Desmond-Hellmann for her inspiration.","It’s go time! Today marks the start of our second annual in vivo Week at insitro! This week of learning, sharing and innovation is designed by and for insitrocytes, with a jam-packed schedule focused on exchanging ideas and building the future together. We kicked off #inVivoWeek2023 with an inspiring fireside chat with Dr. Sue Desmond-Hellmann, a trailblazing oncologist recognized for her leadership throughout the healthcare ecosystem, including at Genentech, UCSF and the Bill & Melinda Gates Foundation. The thought-provoking discussion between Sue and Daphne Koller, our Founder and CEO, explored opportunities in healthcare innovation, the future of drug development and the importance of following professional passions. We're grateful for Sue's valuable insights! 

The energy is palpable as we forge ahead during this pivotal week, collaborating to advance our mission of bringing better drugs faster to the patients who can benefit most, through machine learning and data at scale. #teamwork #ML #drugdiscovery I have long admired Sue from afar, and it was such an honor to have the privilege of interviewing her as the opening plenary at our invivo week at insitro. There was so much in her reflections that deeply resonated: humans as the model for humans, the key role of the patient voice, the importance of #precisionmedicine in ensuring value to patients, the ways in which the AIDS/HIV epidemic profoundly changed drug discovery, and (on a different note) the importance of a culture in which people strive to see the best in their colleagues. Hearing from this wise and inspiring leader really drove home how lucky we were to have the opportunity to bring the power of ML towards the goal of bringing better medicines, faster to patients who can benefit the most. Thank you, Dr. Sue Desmond-Hellmann, for inspiring all of us!"
101,Write a LinkedIn post announcing that you are proud to be the recipient of the 2022 Technical Leadership Abie Award. Mention the importance of elevating women and non-binary individuals in tech and celebrate the community of passionate women working towards a more inclusive future. Provide a link to learn more about Grace Hopper Celebration 2022 and include the hashtags #NextIsNow and #WomenInTech.,"I am proud to be the recipient of the 2022 Technical Leadership Abie Award! Elevating women and non-binary individuals in tech is an important role many of us play every day. This year, we celebrate a growing community of passionate women building a more inclusive tomorrow for everyone. Learn more about Grace Hopper Celebration 2022 here: https://lnkd.in/gTWrFy6q #NextIsNow #WomenInTech"
102,"Generate a LinkedIn post about using OpenDevin, an open-source agentic coding framework, on Father’s Day to help your daughter practice arithmetic problems. Mention how OpenDevin quickly wrote a Python script that generated enjoyable questions for your daughter. Reflect on how coding agents, once a novelty, are becoming genuinely useful despite occasional failures. Explain the typical workflow for a coding agent, including analyzing the problem with an LLM, generating and testing code, and iteratively refining it. Highlight notable papers in the field, such as “AgentCoder: Multiagent-Code Generation with Iterative Testing and Optimisation,” “LDB: A Large Language Model Debugger via Verifying Runtime Execution Step by Step,” and “SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering.” Discuss the role of multi-agent systems in testing code without user-written test cases and compare output testing and the LDB method in debugging. Mention that agentic workflows often mimic human workflows, making development easier by modeling human problem-solving processes. Include a link to the full text due to LinkedIn's length limit.","On Father’s Day last weekend, I sat with my daughter to help her practice solving arithmetic problems. To give her practice problems, I used OpenDevin, an open-source agentic coding framework, to write a Python script that generated questions that she enjoyed answering at her own pace. OpenDevin wrote the code much faster than I could have and genuinely improved my and my daughter’s day. 

Six months ago, coding agents were a novelty. They still frequently fail to deliver, but I find that they’re now working well enough that they might be genuinely useful to more and more people! 

Given a coding problem that’s specified in a prompt, the workflow for a coding agent typically goes something like this: Use a large language model (LLM) to analyze the problem and potentially break it into steps to write code for, generate the code, test it, and iteratively use any errors discovered to ask the coding agent to refine its answer. But within this broad framework, a huge design space and numerous innovations are available to experiment with. I’d like to highlight a few papers that I find notable:
- “AgentCoder: Multiagent-Code Generation with Iterative Testing and Optimisation,” Huang et al. (2024). 
- “LDB: A Large Language Model Debugger via Verifying Runtime Execution Step by Step,” Zhong et al., (2024). 
- “SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,” Yang et al. (2024).

How can we test the code without requiring the user to write test cases? In a multi-agent system, each “agent” is an LLM prompted to play a particular role. An interesting result from AgentCoder shows that having separate agents for writing code and generating tests results in better performance than letting a single agent do both tasks. This is presumably because, if the agent writing the code is also responsible for writing the tests, the tests might be influenced by the code and fail to consider corner cases that the code does not cover. 
When people think of testing code, many initially think of output testing, in which we see if the code generates the correct outputs to a specific set of test inputs. If the code fails a test, an LLM can be prompted to reflect on why the code failed and then to try to fix it. In addition to testing the output, the LDB method is helpful. LDB steps through the code and presents to the LLM values of the variables during intermediate steps of execution, to see if the LLM can spot exactly where the error is. This mimics how a human developer might step through the code to see where one of the computational steps went wrong, and so pinpoint and fix the problem. 

A lot of agentic workflows mimic human workflows. Similar to other work in machine learning, if humans can do a task, then trying to mimic humans makes development much easier compared to inventing a new process. [...]  

[Reached LinkedIn's length limit: Rest of text here: https://lnkd.in/gNkEC9gS ]"
103,"Create a LinkedIn post highlighting a significant event where Geoff Hinton, often referred to as a Godfather of modern AI, visited Covariant's AI Robotics lab. Mention how he engaged with the research team and explored the pioneering Robotic Foundation Model that is integrating modern AI into the physical world. Additionally, emphasize the monumental contributions Geoff Hinton has made to the field of deep learning, impacting advancements in areas such as computer vision, speech recognition, and protein folding prediction over the last decade.","Last week, Geoff Hinton, a Godfather of modern AI, met our research team and toured Covariant's AI Robotics lab to experience our pioneering Robotic Foundation Model which is bringing modern AI into the physical world.

Much of the groundbreaking advancements we've witnessed over the past decade, spanning from computer vision, speech recognition, protein folding prediction, and beyond, hinge on the deep learning work conducted by Geoff, who has fundamentally changed the focus and direction of the field."
104,"Write a LinkedIn post describing your experience attending the State of the Union speech last night as a guest of Congresswoman Anna Eshoo. Mention a brief exchange you had with President Biden where you told him that his speech was historical for being the first to mention artificial intelligence during the #SOTU, and recount his reply, “Yes! And keep it safe.” Express your gratitude towards Anna Eshoo for her inclusion and leadership on AI in Congress. Also, highlight the introduction of the bipartisan CREATE AI Act by Rep. Anna Eshoo, Rep. Michael McCaul, Rep. Don Beyer, and Rep. Jay Obernolte, which aims to create stronger American public-sector AI.","After attending the State of the Union speech last night as a guest of my Congresswoman Anna Eshoo, I had a brief exchange with President Biden. I told him that his speech marked a historical moment - he was the first president to ever mention artificial intelligence during the #SOTU. He replied, “Yes! And keep it safe.” What a tremendous moment in time, and I’m so thankful to Anna not only for including me but also for her leadership on AI in Congress. Anna, with Rep. Michael McCaul, Rep. Don Beyer, and Rep. Jay Obernolte, introduced the critical CREATE AI Act, a bipartisan bill that will create stronger American public-sector AI."
105,"Write a LinkedIn post announcing the launch of the company EvolutionaryScale and their new ESM3 model. Highlight the following points:

- Introduction of EvolutionaryScale as a new AI-for-proteomics startup.
- Mention that ESM3 is a 98 billion parameter generative language model for programming biology.
- Explain that ESM3 can simulate 500 million years of evolution to generate new fluorescent proteins.
- Note that using the ESM3 model and this simulated evolutionary process, the company has produced a new type of Green Fluorescent Protein (GFP) different from anything found in nature.
- Give kudos to the team for their impressive work.
- Mention the company was formed by former members of the Meta-FAIR Protein group, specifically highlighting Alex Rives and Zeming Lin, who did their PhDs at NYU.

Add your personal touch and any additional enthusiasm or praise.","We have trained ESM3 and are announcing our company, EvolutionaryScale.

ESM3 is a generative language model for programming biology. In experiments, we found ESM3 can simulate 500M years of evolution to generate new fluorescent proteins. EvolutionaryScale.ai : an AI-for-proteomics startup that just came out of stealth.
They are announcing ESM3 a 98B-paramter generative LLM for ""programming biology.""

Using ESM3 and a simulated evolutionary process, they have produced a new type GFP (Green Fluorescent Protein) different from anything found in nature.

Super-impressive. Kudos to the team 👏

The company was formed by former members of the Meta-FAIR Protein group, two of whom did their PhD at NYU, Alex Rives and Zeming Lin ."
106,"Generate a LinkedIn post that highlights the importance of data preprocessing for building effective Retrieval-Augmented Generation (RAG) systems. Introduce a new short course titled ""Preprocessing Unstructured Data for LLM Applications,"" taught by Matt Robinson from unstructured.io. Emphasize the following key aspects of the course:

- Extracting and normalizing content from diverse formats like PDF, Powerpoint, and HTML to expand LLM knowledge
- Enriching data with metadata for more powerful retrieval and reasoning
- Applying document layout analysis and vision transforms for processing embedded images and tables

Mention that participants will apply these skills to build a RAG bot that uses a corpus including PDF, PowerPoint, and Markdown documents. Include a signup link: https://lnkd.in/g84D4dJg","Data preprocessing is critical for building effective RAG systems. Our new short course, Preprocessing Unstructured Data for LLM Applications, taught by Matt Robinson of unstructured.io, demonstrates important but sometimes overlooked aspects of RAG systems:

- How to extract and normalize content from diverse formats like PDF, Powerpoint, and HTML to expand your LLM's knowledge
- Enriching data with metadata to enable more powerful retrieval and reasoning
- Applying document layout analysis and vision transforms to process embedded images and tables

Then you’ll apply all these skills and build a RAG bot that draws from a corpus that includes PDF, PowerPoint, and Markdown documents.

Please sign up here: https://lnkd.in/g84D4dJg"
